Iteration,fy_speed_1,fy_dir_x,fy_dir_y,drop_time_1,clock_value_1,drop_time_2,clock_value_2,drop_time_3,clock_value_3,Obscured_Duration
Iteration,120.0,-0.99993885,0.01105904,0.9758,3.8205,2.4758,5.0,3.9758,5.0,5.479999999999928
Iteration,120.01,-0.99993885,0.01105904,0.9758,3.8205,2.4758,5.0,3.9758,5.0,5.479999999999928
Iteration,120.0,-0.98993885,0.01105904,0.9758,3.8205,2.4758,5.0,3.9758,5.0,5.449999999999928
Iteration,120.0,-0.99993885,0.02105904,0.9758,3.8205,2.4758,5.0,3.9758,5.0,3.509999999999969
Iteration,120.0,-0.99993885,0.01105904,0.9858,3.8205,2.4758,5.0,3.9758,5.0,5.459999999999928
Iteration,120.0,-0.99993885,0.01105904,0.9758,3.8305,2.4758,5.0,3.9758,5.0,5.509999999999927
Iteration,120.0,-0.99993885,0.01105904,0.9758,3.8205,2.4858,5.0,3.9758,5.0,5.479999999999928
Iteration,120.0,-0.99993885,0.01105904,0.9758,3.8205,2.4758,5.01,3.9758,5.0,5.479999999999928
Iteration,120.0,-0.99993885,0.01105904,0.9758,3.8205,2.4758,5.0,3.9858,5.0,5.469999999999928
Iteration,120.0,-0.99993885,0.01105904,0.9758,3.8205,2.4758,5.0,3.9758,5.01,5.489999999999927
Iteration,120.0,-1.0,-1.0,0.1,6.820500000000965,2.4758,5.0,2.9757999999996785,6.0000000000003215,0.0
Iteration,120.01,-1.0,-1.0,0.1,6.820500000000965,2.4758,5.0,2.9757999999996785,6.0000000000003215,0.0
Iteration,120.0,-0.99,-1.0,0.1,6.820500000000965,2.4758,5.0,2.9757999999996785,6.0000000000003215,0.0
Iteration,120.0,-1.0,-0.99,0.1,6.820500000000965,2.4758,5.0,2.9757999999996785,6.0000000000003215,0.0
Iteration,120.0,-1.0,-1.0,0.11,6.820500000000965,2.4758,5.0,2.9757999999996785,6.0000000000003215,0.0
Iteration,120.0,-1.0,-1.0,0.1,6.830500000000964,2.4758,5.0,2.9757999999996785,6.0000000000003215,0.0
Iteration,120.0,-1.0,-1.0,0.1,6.820500000000965,2.4858,5.0,2.9757999999996785,6.0000000000003215,0.0
Iteration,120.0,-1.0,-1.0,0.1,6.820500000000965,2.4758,5.01,2.9757999999996785,6.0000000000003215,0.0
Iteration,120.0,-1.0,-1.0,0.1,6.820500000000965,2.4758,5.0,2.9857999999996783,6.0000000000003215,0.0
Iteration,120.0,-1.0,-1.0,0.1,6.820500000000965,2.4758,5.0,2.9757999999996785,6.010000000000321,0.0
Iteration,120.0,-0.9999582310410903,-0.30938865908326474,0.6982216551615785,4.771327853979827,2.4758,5.0,3.6588573820067243,5.316942617993275,0.0
Iteration,120.01,-0.9999582310410903,-0.30938865908326474,0.6982216551615785,4.771327853979827,2.4758,5.0,3.6588573820067243,5.316942617993275,0.0
Iteration,120.0,-0.9899582310410903,-0.30938865908326474,0.6982216551615785,4.771327853979827,2.4758,5.0,3.6588573820067243,5.316942617993275,0.0
Iteration,120.0,-0.9999582310410903,-0.29938865908326473,0.6982216551615785,4.771327853979827,2.4758,5.0,3.6588573820067243,5.316942617993275,0.0
Iteration,120.0,-0.9999582310410903,-0.30938865908326474,0.7082216551615785,4.771327853979827,2.4758,5.0,3.6588573820067243,5.316942617993275,0.0
Iteration,120.0,-0.9999582310410903,-0.30938865908326474,0.6982216551615785,4.7813278539798265,2.4758,5.0,3.6588573820067243,5.316942617993275,0.0
Iteration,120.0,-0.9999582310410903,-0.30938865908326474,0.6982216551615785,4.771327853979827,2.4858,5.0,3.6588573820067243,5.316942617993275,0.0
Iteration,120.0,-0.9999582310410903,-0.30938865908326474,0.6982216551615785,4.771327853979827,2.4758,5.01,3.6588573820067243,5.316942617993275,0.0
Iteration,120.0,-0.9999582310410903,-0.30938865908326474,0.6982216551615785,4.771327853979827,2.4758,5.0,3.668857382006724,5.316942617993275,0.0
Iteration,120.0,-0.9999582310410903,-0.30938865908326474,0.6982216551615785,4.771327853979827,2.4758,5.0,3.6588573820067243,5.326942617993275,0.0
Iteration,120.0,-0.9999444040933183,-0.0807727876107103,0.8962533944709499,4.092982092472285,2.4758,5.0,3.884972635842572,5.090827364157429,0.0
